word, freq, first_time, first_vsize, lrnd_time, lrnd_freq, flrnd_vsize, last_time
mama:N,1,154,8,-1,-1,-1,154,
many:DET,1,628,71,-1,-1,-1,628,
martin:N,3,254,16,-1,-1,-1,317,
mat:N,1,723,90,-1,-1,-1,723,
matter:N,2,329,24,-1,-1,-1,813,
me:N,22,14,0,506,11,46,869,
mean:V,3,369,27,-1,-1,-1,768,
might:AUX,4,224,11,885,3,108,915,
might:N,1,885,109,-1,-1,-1,885,
milk:N,3,847,103,-1,-1,-1,967,
mind:V,1,498,44,-1,-1,-1,498,
minute:N,3,550,58,-1,-1,-1,786,
miss:V,4,110,4,-1,-1,-1,133,
monkey:N,1,775,95,-1,-1,-1,775,
more:DET,7,44,0,588,7,62,588,
morning:N,1,22,0,-1,-1,-1,22,
mouth:N,1,439,35,-1,-1,-1,439,
move:V,1,787,98,-1,-1,-1,787,
much:DET,1,441,37,-1,-1,-1,441,
mum:N,1,36,0,-1,-1,-1,36,
mummy:N,7,434,35,459,3,38,843,
my:DET,2,745,91,-1,-1,-1,752,
name:N,1,555,58,-1,-1,-1,555,
need:N,1,970,120,-1,-1,-1,970,
need:V,2,52,0,-1,-1,-1,954,
next:ADJ,2,106,4,-1,-1,-1,190,
next:ADV,1,532,54,-1,-1,-1,532,
nice:ADJ,3,623,71,988,3,124,988,
nicole:N,1,983,123,-1,-1,-1,983,
night:N,1,551,58,-1,-1,-1,551,
no:DET,1,629,71,-1,-1,-1,629,
no:OTH,28,7,0,279,6,18,977,
noise:N,1,795,100,-1,-1,-1,795,
nose:N,7,91,0,560,5,59,879,
not:NEG,65,1,0,383,16,29,993,
now:ADV,12,5,0,647,8,73,939,
number:N,1,80,0,-1,-1,-1,80,
nursery:N,1,742,91,-1,-1,-1,742,
of:PREP,9,345,25,648,5,75,960,
off:PREP,4,69,0,-1,-1,-1,514,
oh:OTH,112,10,0,104,12,3,999,
on:PREP,32,105,4,356,8,25,933,
one:DET,4,405,31,592,3,64,768,
one:N,31,39,0,461,9,40,956,
or:CONJ,2,476,44,-1,-1,-1,511,
orange:N,4,132,6,-1,-1,-1,870,
other:DET,2,916,114,-1,-1,-1,917,
out:ADV,7,225,12,719,6,89,833,
out:PREP,5,315,21,766,5,94,766,
over:PREP,2,108,4,-1,-1,-1,950,
owl:N,2,821,102,-1,-1,-1,826,
page:N,2,190,10,-1,-1,-1,193,
paint:V,1,475,44,-1,-1,-1,475,
pan:N,1,617,68,-1,-1,-1,617,
panda:N,2,790,99,-1,-1,-1,792,
paper:N,1,732,91,-1,-1,-1,732,
pardon:V,5,285,20,582,3,61,658,
part:N,1,944,117,-1,-1,-1,944,
party:N,2,824,102,-1,-1,-1,839,
pat:N,6,42,0,-1,-1,-1,105,
pen:N,1,729,90,-1,-1,-1,729,
percy:N,1,335,24,-1,-1,-1,335,
person:N,3,669,82,701,3,85,701,
photo:N,1,252,15,-1,-1,-1,252,
photograph:N,1,290,20,-1,-1,-1,290,
pick:V,1,51,0,-1,-1,-1,51,
pickle:N,1,625,71,-1,-1,-1,625,
picture:N,1,37,0,-1,-1,-1,37,
pie:N,6,959,119,985,3,123,995,
piece:N,3,95,0,-1,-1,-1,732,
pig:N,2,711,89,-1,-1,-1,713,
pink:ADJ,1,493,44,-1,-1,-1,493,
play:N,3,6,0,-1,-1,-1,663,
play:V,13,5,0,320,11,22,710,
please:OTH,1,950,118,-1,-1,-1,950,
plenty:N,1,646,72,-1,-1,-1,646,
poor:ADJ,3,659,78,890,3,109,890,
post:V,1,628,71,-1,-1,-1,628,
pot:N,3,609,66,611,2,66,612,
pram:N,4,672,82,947,4,117,947,
pretend:V,2,418,31,-1,-1,-1,706,
pull:V,2,95,0,-1,-1,-1,307,
purple:N,1,478,44,-1,-1,-1,478,
