time, heard, learned, nov_n_min1, nov_n_min2, all, lrn, n, v, oth
538,297,55,-1,-1,0.41972663955,0.832219736326,0.380919187418,0.39274456128,0.498090187322
539,297,55,-1,-1,0.419834177231,0.832800439802,0.380984073267,0.39274456128,0.498346328787
540,297,55,-1,-1,0.419984508756,0.833612230035,0.381308071938,0.392762818726,0.498348788633
541,298,55,-1,-1,0.419409568994,0.833635194204,0.381321939212,0.392754855465,0.495620969523
542,298,56,-1,-1,0.420970725375,0.831617857653,0.382213523848,0.395536292608,0.497181827497
543,299,56,-1,-1,0.42089584407,0.832480104669,0.382460765547,0.396183472854,0.495260021944
544,299,57,-1,-1,0.423158333747,0.831042663169,0.386892314296,0.396582630531,0.495883139358
545,299,57,-1,-1,0.424011251496,0.831996275751,0.388401084895,0.396576543278,0.496472389752
546,299,57,-1,-1,0.424457437675,0.832195565722,0.388488416941,0.396645380236,0.497727974778
547,299,58,-1,-1,0.425484923473,0.830337619777,0.388603877368,0.398083071267,0.499737765872
548,301,58,0.305983855065,-1,0.425020645582,0.83148017447,0.388007644544,0.396235545401,0.50125547948
549,302,58,-1,-1,0.424787655054,0.832364962381,0.386793461843,0.397306448473,0.501807282694
550,304,58,-1,-1,0.423629401455,0.832364861322,0.385751134955,0.395374830125,0.501807219668
551,308,58,0.243672942749,-1,0.422164315166,0.832419802826,0.38473611517,0.389045100618,0.5050778865
552,309,58,-1,-1,0.422335697151,0.832425901939,0.384738697276,0.389984673509,0.505201501995
553,310,58,0.183758834998,-1,0.422340518527,0.832512788417,0.383329319013,0.39105430037,0.506804569789
554,311,58,-1,-1,0.42276365026,0.832512788417,0.383117195601,0.39219457134,0.507987461359
555,312,58,0.301416525633,-1,0.423359211998,0.832544137532,0.38253444547,0.392216123202,0.511270731663
556,312,58,-1,-1,0.425155683801,0.832574611641,0.386525386215,0.392230726883,0.511277331743
557,313,58,0.194703860816,-1,0.424462805113,0.832808763252,0.385162577407,0.392232202232,0.511425705479
558,315,58,0.392179502341,0.392179502341,0.425181380276,0.833149924984,0.385135686107,0.392476037994,0.514538974971
559,315,58,-1,-1,0.42518290645,0.833158213687,0.385139433845,0.392475339491,0.514538974971
560,315,60,-1,-1,0.426773536534,0.829620861313,0.38847804013,0.392583558149,0.514701109419
561,315,60,-1,-1,0.427238213638,0.831095801026,0.38917245257,0.392583558149,0.515207263274
562,315,60,-1,-1,0.42761716167,0.83110249926,0.390002813304,0.392584721819,0.515213017202
563,315,60,-1,-1,0.42772018263,0.831643359302,0.390229747587,0.392584721819,0.515213017202
564,316,60,-1,-1,0.427694626819,0.831917962317,0.390227011514,0.392586773448,0.514198769425
565,316,61,-1,-1,0.428045342319,0.830346653986,0.390227011514,0.39383328933,0.514330166693
566,316,61,-1,-1,0.428117873959,0.830722391664,0.390387291222,0.39383328933,0.514330166693
567,316,61,-1,-1,0.428387833038,0.832120868204,0.390387291222,0.394693080278,0.514515098439
568,317,61,0.25852511664,-1,0.427890610126,0.832321573997,0.389460642875,0.394709004042,0.514648718262
569,318,61,0.305617869622,-1,0.427858815323,0.832304260626,0.388883347681,0.394693927007,0.51585316623
570,318,61,-1,-1,0.430412988509,0.832656821109,0.393614012728,0.395275930796,0.516707446464
571,320,61,-1,-1,0.429810413182,0.834074163635,0.394358969409,0.396006555483,0.51117462261
572,320,61,-1,-1,0.430145988422,0.835017767896,0.394736093286,0.396307054934,0.511476306548
573,320,61,-1,-1,0.430321750808,0.835099890694,0.394770641498,0.396560604789,0.511801348574
574,320,61,-1,-1,0.430356133942,0.835280261235,0.394770641498,0.396560604789,0.511915959022
575,320,61,-1,-1,0.430516602279,0.836122062342,0.395117033645,0.396560604789,0.511927657004
576,320,61,-1,-1,0.4309279995,0.8368784775,0.395382026021,0.396638728745,0.512834442668
577,320,61,-1,-1,0.430931030011,0.83689437526,0.395382026021,0.396638728745,0.512844544369
578,320,61,-1,-1,0.431508396184,0.83689928807,0.39538439789,0.398973073737,0.512844544369
579,320,61,-1,-1,0.431509249576,0.836903764883,0.39538439789,0.398973073737,0.512847389011
580,320,61,-1,-1,0.431957741603,0.83689871651,0.396380832564,0.398973693214,0.512836821118
581,320,61,-1,-1,0.432488436911,0.83689871651,0.397552022209,0.398973693214,0.512836821118
582,320,62,-1,-1,0.433084326664,0.837405982852,0.397552022209,0.401387423861,0.512836821118
583,320,62,-1,-1,0.433648292628,0.837405982852,0.398796636748,0.401387423861,0.512836821118
584,320,62,-1,-1,0.434478419261,0.837762928283,0.398803639927,0.403068634527,0.514209835903
585,320,62,-1,-1,0.434836731266,0.83832960979,0.399047241535,0.404075287538,0.51420787778
586,320,62,-1,-1,0.435168664331,0.838647181634,0.39967189347,0.404081609492,0.514365634198
587,321,62,0.225682406805,-1,0.434674676095,0.838656890461,0.398824801686,0.404081609492,0.514371904482
588,321,64,-1,-1,0.435101388646,0.835088835188,0.399408548388,0.404081609492,0.514910943133
589,322,64,-1,-1,0.435507224873,0.836081193276,0.39965882586,0.405504398165,0.513899900811
590,323,64,-1,-1,0.435434588108,0.836081193276,0.399743089288,0.405504398165,0.513899900811
591,323,64,-1,-1,0.436223413585,0.836081193276,0.401476358873,0.405504398165,0.513899900811
592,323,65,-1,-1,0.437113242611,0.834713158936,0.401543820505,0.405504398165,0.516760704064
593,323,65,-1,-1,0.437114294171,0.834718384379,0.401550037495,0.405520037271,0.516742047022
594,323,66,-1,-1,0.437499560634,0.834060185318,0.402396575369,0.405520037271,0.516742047022
595,323,66,-1,-1,0.438803852609,0.833543326071,0.402088525961,0.405569422488,0.521511821648
596,323,66,-1,-1,0.439445095054,0.83371079239,0.402257696721,0.405257901305,0.523644433828
597,323,66,-1,-1,0.439519933372,0.833817824357,0.402280355975,0.405398786494,0.523744556885
598,323,66,-1,-1,0.439682003223,0.833915217112,0.402288067785,0.405980060418,0.523799137151
599,325,66,0.216328987483,-1,0.438526296277,0.834157233962,0.401040495682,0.406255869818,0.521151420546
600,325,66,-1,-1,0.439393436394,0.834157233962,0.402944688507,0.406255869818,0.521151420546
601,326,66,-1,-1,0.438825991636,0.834781900237,0.401671089733,0.406255869818,0.521572114159
602,326,66,-1,-1,0.438914773371,0.835220428197,0.401671089733,0.406622234949,0.521572114159
603,327,66,-1,-1,0.438939588797,0.835220428197,0.401671089733,0.407127324734,0.521572114159
604,327,66,-1,-1,0.43989119226,0.83521941975,0.402536482066,0.409413421232,0.521565411661
605,327,66,-1,-1,0.440102421966,0.836265966928,0.403000053299,0.409413421232,0.521565411661
606,327,66,-1,-1,0.441652146232,0.836395925717,0.403828625191,0.4140960507,0.521654108248
607,327,66,-1,-1,0.442145651951,0.836403073976,0.404911725719,0.414084201958,0.521663723462
