novel-referent-mul,inference-type,forget,power,no-novelty,repetitions,scene,number of novel features,novel-referent-sum,familiar-object,iterations,path,maxtime,probabilistic,ratio-sum,ratio-mul,dummy,overlapping-feature(s),name,prop-novel-features,familiar-referent-mul,novelty,novel-word,corpus-path,familiar-referent-sum,n-features,fix-words,lambda
1.1775218741072033e-10,MUL&SUM,False,1,True,1,"set(['animal#1', 'district#1', 'mammal#1', 'municipality#1', 'organism#1', 'placental#1', 'administrative district#1', 'region#3', 'location#1', 'whole#2', 'vertebrate#1', 'urban area#1', 'physical entity#1', 'chordate#1', 'living thing#1', 'geographical area#1', 'object#1'])",0,2.6682229751067084,elephant:N,1,./results_ref_prob,1000,False,47.870155869071766,721360948793290.5,False,"['physical entity#1', 'object#1']",no novel features,0.0,1.6323615467083289e-25,False,chester:N,input_wn_fu_cs_scaled_categ.dev,0.055738756782085383,10,False,0.0001
4.1773921557166629e-23,MUL&SUM,False,1,False,1,"set(['novelft#1', 'filth', 'material#1', 'matter#3', 'act#2', 'abstraction#6', 'walk', 'locomotion#2', 'entity#1', 'action#1', 'substance#1', 'event#1', 'waste#1', 'change#3', 'psychological feature#1', 'motion#6', 'relation#1', 'part#1'])",0,0.14000151722319604,walk:N,1,./results_ref_prob,1000,False,0.64741482937178196,0.00010524267385325615,False,"['abstraction#6', 'entity#1']",no novel features,0.0,3.9692949663568593e-19,False,filth:N,input_wn_fu_cs_scaled_categ.dev,0.21624700404074201,10,False,-1
4.8633552375905319e-12,MUL&SUM,False,1,False,1,"set(['animal#1', 'district#1', 'mammal#1', 'municipality#1', 'organism#1', 'placental#1', 'novelft#1', 'region#3', 'location#1', 'whole#2', 'vertebrate#1', 'urban area#1', 'physical entity#1', 'city#1', 'chordate#1', 'living thing#1', 'geographical area#1', 'object#1'])",0,1.5237416376473127,elephant:N,1,./results_ref_prob,1000,False,21.481331784337602,1353243973452.8713,False,"['physical entity#1', 'object#1']",no novel features,0.0,3.5938495444996751e-24,0.03,chester:N,input_wn_fu_cs_scaled_categ.dev,0.070933294683260664,10,False,0.0001
5.0845130710925637e-17,MUL&SUM,False,1,True,1,"set(['part#3', 'artifact#1', 'body part#1', 'structure#4', 'whole#2', 'physical entity#1', 'structure#1', 'object#1', 'thing#12'])",0,0.0041843210215666239,mouth:N,1,./results_ref_prob,1000,False,0.098175224302923747,0.00073417547039345259,False,['physical entity#1'],no novel features,0.0,6.9254739175196333e-14,False,window:N,input_wn_fu_cs_scaled_categ.dev,0.0426209468964973,5,False,-1
9.4875509333226807e-33,MUL&SUM,False,0.5,True,1,"set(['filth', 'part#1', 'physical entity#1', 'matter#3', 'act#2', 'abstraction#6', 'walk', 'locomotion#2', 'entity#1', 'action#1', 'substance#1', 'event#1', 'waste#1', 'change#3', 'psychological feature#1', 'motion#6', 'relation#1', 'material#1'])",0,0.0063224573598878071,walk:N,1,./results_ref_prob,1000,False,0.92839473583324117,0.45283029140831682,False,"['abstraction#6', 'entity#1']",no novel features,0.0,2.0951670224657654e-32,0.03,filth:N,input_wn_fu_cs_scaled_categ.dev,0.0068100960893680154,10,False,-1
2.6867204324651681e-18,MUL&SUM,False,1,True,1,"set(['crepe', 'part#1', 'entity#1', 'artifact#1', 'matter#3', 'abstraction#6', 'whole#2', 'substance#1', 'guitar', 'physical entity#1', 'device#1', 'object#1', 'material#1', 'paper#1', 'relation#1', 'instrumentality#3', 'stringed instrument#1', 'musical instrument#1'])",0,0.9887606908663098,guitar:N,1,./results_ref_prob,1000,False,0.54287016614874861,0.69417582622001783,False,"['entity#1', 'physical entity#1']",no novel features,0.0,3.8703745232603603e-18,False,crepe:N,input_wn_fu_cs_scaled_categ.dev,1.8213575777811031,10,False,0.0001
2.2750642014613472e-12,MUL&SUM,False,1,False,1,"set(['food#2', 'way#6', 'artifact#1', 'matter#3', 'whole#2', 'physical entity#1', 'object#1', 'novelft#1', 'solid#1'])",0,0.035259845543525681,ladder:N,1,./results_ref_prob,1000,False,1.6944403941832007,223.66033038164369,False,['physical entity#1'],no novel features,0.0,1.0171961194813951e-14,0.03,sucker:N,input_wn_fu_cs_scaled_categ.dev,0.020809138913689892,5,False,-1
5.443038915336236e-10,MUL&SUM,False,0.5,True,1,"set(['food#2', 'way#6', 'artifact#1', 'matter#3', 'whole#2', 'physical entity#1', 'seafood#1', 'object#1', 'solid#1'])",0,0.5428848945896757,ladder:N,1,./results_ref_prob,1000,False,1.0400664884449897,146.50434940780843,False,['physical entity#1'],no novel features,0.0,3.7152746231342477e-12,False,sucker:N,input_wn_fu_cs_scaled_categ.dev,0.52197133608385604,5,False,0.0001
1.2838868577083232e-16,MUL&SUM,False,1,True,1,"set(['organism#1', 'causal agent#1', 'artifact#1', 'whole#2', 'person', 'device#1', 'living thing#1', 'instrumentality#3', 'object#1'])",0,0.007730134782896839,person:N,1,./results_ref_prob,1000,False,0.43790854973727539,0.050213092066760084,False,['whole#2'],no novel features,0.0,2.556876712554069e-15,False,fan:N,input_wn_fu_cs_scaled_categ.dev,0.017652395203369649,5,False,-1
5.1201189628419541e-16,MUL&SUM,False,1,False,1,"set(['crepe', 'material#1', 'entity#1', 'artifact#1', 'matter#3', 'paper#1', 'whole#2', 'substance#1', 'guitar', 'physical entity#1', 'device#1', 'object#1', 'novelft#1', 'relation#1', 'instrumentality#3', 'abstraction#6', 'stringed instrument#1', 'musical instrument#1'])",0,0.93771279484087056,guitar:N,1,./results_ref_prob,1000,False,1.039016161486481,702.21391247192093,False,"['entity#1', 'physical entity#1']",no novel features,0.0,7.2913949323763781e-19,0.03,crepe:N,input_wn_fu_cs_scaled_categ.dev,0.90250068247188808,10,False,0.0001
