number of features per object,number of novel features for novel object,power,   forgetting,novelty,lambda,novel word,familiar object,scene,overlapping features, ratio-SUM,ratio-PROD
10,0,0.5,False,0.03,-1,grit:N,pickle:N,"set(['food#1', 'ingredient#3', 'part#1', 'sandstone#1', 'matter#3', 'abstraction#6', 'substance#7', 'relish#2', 'substance#1', 'condiment#1', 'physical entity#1', 'relation#1', 'rock#2', 'flavorer#1', 'pickle', 'sedimentary rock#1', 'foodstuff#2', 'material#1'])","['matter#3', 'physical entity#1']",0.97093050473918174,0.74917062240875709
10,0,0.5,False,0.03,-1,gumdrop:N,snowman:N,"set(['snowman', 'sweet#3', 'food#1', 'creation#2', 'entity#1', 'artifact#1', 'model#4', 'dainty#1', 'substance#7', 'candy#1', 'whole#2', 'gumdrop', 'representation#2', 'physical entity#1', 'object#1', 'matter#3', 'nutriment#1', 'figure#4'])","['entity#1', 'physical entity#1']",1.1117372940586518,3.7099880807545276
10,0,0.5,False,0.03,-1,hamburger:N,skull:N,"set(['food#1', 'hamburger', 'skull', 'part#3', 'matter#3', 'connective tissue#1', 'substance#7', 'body part#1', 'tissue#1', 'entity#1', 'bone#1', 'physical entity#1', 'snack food#1', 'dish#2', 'nutriment#1', 'animal tissue#1', 'sandwich#1', 'thing#12'])","['entity#1', 'physical entity#1']",0.99455208851313137,0.93926731034411681
10,0,0.5,False,0.03,-1,hesitation:N,walk:N,"set(['attribute#2', 'hesitation', 'cognitive state#1', 'state#2', 'condition#1', 'act#2', 'abstraction#6', 'walk', 'locomotion#2', 'entity#1', 'action#1', 'doubt#1', 'event#1', 'change#3', 'psychological state#1', 'psychological feature#1', 'motion#6', 'indecision#1'])","['abstraction#6', 'entity#1']",1.0061022793991172,1.070788797399703
10,0,0.5,False,0.03,-1,hole:N,matter:N,"set(['curiosity#1', 'attribute#2', 'cognitive state#1', 'state#2', 'condition#1', 'abstraction#6', 'location#1', 'interest#1', 'matter', 'opening#1', 'object#1', 'shape#2', 'concern#1', 'space#2', 'psychological state#1', 'physical entity#1', 'amorphous shape#1'])","['attribute#2', 'abstraction#6']",0.9379777455547369,0.45854555741342623
10,0,0.5,False,0.03,-1,holland:N,martin:N,"set(['district#1', 'administrative district#1', 'organism#1', 'causal agent#1', 'spiritual being#1', 'country#2', 'person#1', 'whole#2', 'region#3', 'leader#1', 'physical entity#1', 'european country#1', 'object#1', 'belief#1', 'holland', 'location#1', 'living thing#1'])","['physical entity#1', 'object#1']",1.1923529761852125,6.0932992080469237
10,0,0.5,False,0.03,-1,holland:N,mummy:N,"set(['district#1', 'progenitor#1', 'organism#1', 'causal agent#1', 'location#1', 'country#2', 'administrative district#1', 'person#1', 'whole#2', 'ancestor#1', 'physical entity#1', 'european country#1', 'region#3', 'object#1', 'holland', 'relative#1', 'living thing#1'])","['physical entity#1', 'object#1']",1.1993327804600091,6.377420572198444
10,0,0.5,False,0.03,-1,holland:N,mummy:N,"set(['district#1', 'progenitor#1', 'organism#1', 'causal agent#1', 'location#1', 'country#2', 'administrative district#1', 'person#1', 'whole#2', 'ancestor#1', 'physical entity#1', 'european country#1', 'region#3', 'object#1', 'holland', 'relative#1', 'living thing#1'])","['physical entity#1', 'object#1']",1.1993327804600091,6.377420572198444
10,0,0.5,False,0.03,-1,ink:N,house:N,"set(['liquid#1', 'part#1', 'physical entity#1', 'artifact#1', 'house', 'building#1', 'fluid#1', 'ink', 'whole#2', 'dwelling#1', 'substance#1', 'entity#1', 'structure#1', 'housing#1', 'object#1', 'matter#3', 'abstraction#6', 'relation#1'])","['physical entity#1', 'entity#1']",1.0946462457783208,3.1883484267159532
10,0,0.5,False,0.03,-1,ink:N,house:N,"set(['liquid#1', 'part#1', 'physical entity#1', 'artifact#1', 'house', 'building#1', 'fluid#1', 'ink', 'whole#2', 'dwelling#1', 'substance#1', 'entity#1', 'structure#1', 'housing#1', 'object#1', 'matter#3', 'abstraction#6', 'relation#1'])","['physical entity#1', 'entity#1']",1.0946462457783208,3.1883484267159532
