word, freq, first_time, first_vsize, lrnd_time, lrnd_freq, flrnd_vsize, last_time
say:V,10,33,19,181,2,69,979,
seat:N,1,229,80,-1,-1,-1,229,
see:V,14,93,44,93,1,44,720,
shall:AUX,39,6,3,272,10,90,957,
she:N,11,21,13,833,4,232,987,
sheep:N,1,880,241,-1,-1,-1,880,
shop:N,10,209,76,210,2,76,954,
shop:V,1,239,82,-1,-1,-1,239,
short:ADJ,1,776,219,-1,-1,-1,776,
show:V,2,501,153,501,1,153,792,
shut:V,3,603,178,603,1,178,614,
sing:V,1,416,122,-1,-1,-1,416,
sir:N,1,804,224,-1,-1,-1,804,
sit:V,2,95,45,-1,-1,-1,348,
skull:N,1,752,212,-1,-1,-1,752,
snail:N,1,621,185,-1,-1,-1,621,
sneeze:V,1,706,200,-1,-1,-1,706,
snout:N,1,421,126,-1,-1,-1,421,
snow:N,3,554,165,649,3,187,649,
snowman:N,5,557,166,581,4,169,747,
so:ADV,1,628,187,-1,-1,-1,628,
so:CONJ,2,826,230,-1,-1,-1,843,
so:OTH,1,599,177,-1,-1,-1,599,
some:DET,19,26,16,80,2,40,964,
something:N,2,14,9,-1,-1,-1,160,
song:N,2,414,122,-1,-1,-1,416,
sort:V,1,533,160,-1,-1,-1,533,
space:N,1,549,164,-1,-1,-1,549,
speak:V,1,662,193,-1,-1,-1,662,
spider:N,10,195,73,195,1,73,517,
splash:N,1,831,231,831,1,231,831,
spoil:V,1,465,144,-1,-1,-1,465,
spoon:N,3,972,257,973,2,257,979,
spot:N,1,914,247,-1,-1,-1,914,
squash:V,2,888,243,-1,-1,-1,889,
squeak:N,4,169,65,172,3,67,173,
stair:N,3,18,11,18,1,11,808,
stand:V,1,830,231,-1,-1,-1,830,
star:N,12,404,118,406,2,119,487,
starfish:N,15,459,141,462,2,141,646,
start:V,1,491,147,491,1,147,491,
stay:N,1,229,80,-1,-1,-1,229,
steer:V,1,217,78,-1,-1,-1,217,
step:N,1,436,131,-1,-1,-1,436,
step:V,1,436,131,-1,-1,-1,436,
stick:N,1,558,167,-1,-1,-1,558,
stick:V,5,219,78,222,3,78,957,
storm:N,1,399,117,-1,-1,-1,399,
story:N,4,553,165,819,4,228,819,
strong:ADJ,1,564,168,-1,-1,-1,564,
struggle:V,1,120,54,-1,-1,-1,120,
stuff:N,1,954,251,-1,-1,-1,954,
sun:N,6,388,112,395,3,115,466,
suppose:V,1,939,250,-1,-1,-1,939,
sure:ADJ,2,902,244,924,2,248,924,
surprise:N,1,185,70,-1,-1,-1,185,
sweetheart:N,1,763,214,-1,-1,-1,763,
swim:V,1,806,224,806,1,224,806,
table:N,1,898,243,-1,-1,-1,898,
tail:N,1,748,211,-1,-1,-1,748,
take:V,5,362,108,542,2,161,913,
talk:V,6,109,51,145,4,57,283,
tape:V,1,551,164,-1,-1,-1,551,
tea:N,1,940,250,-1,-1,-1,940,
teddy:N,2,431,131,-1,-1,-1,435,
telephone:N,1,141,56,-1,-1,-1,141,
tell:V,7,149,59,150,2,59,826,
than:PREP,1,469,144,-1,-1,-1,469,
that:DET,6,114,53,315,3,97,911,
that:N,141,1,0,39,4,22,996,
the:DET,88,2,0,28,3,17,957,
them:N,7,126,55,463,2,143,719,
then:ADV,27,13,8,168,5,64,973,
then:CONJ,4,95,45,803,3,223,904,
there:ADV,42,31,18,35,2,19,974,
there:N,8,110,51,397,2,116,854,
these:DET,2,390,113,596,2,175,596,
these:N,1,681,195,681,1,195,681,
they:N,22,53,30,68,2,34,874,
thing:N,1,628,187,-1,-1,-1,628,
think:V,12,82,41,273,4,91,964,
this:DET,16,22,14,297,3,95,818,
those:DET,3,623,185,623,1,185,731,
those:N,3,21,14,744,3,209,744,
though:ADV,2,488,147,842,2,234,842,
throw:V,2,40,24,810,2,225,810,
thunder:N,1,399,117,-1,-1,-1,399,
tickle:V,2,428,129,428,1,129,429,
time:N,2,102,48,509,2,157,509,
time:V,1,631,187,-1,-1,-1,631,
tissue:N,2,11,7,-1,-1,-1,879,
to:INF,66,5,2,17,5,10,971,
to:PREP,15,95,45,240,8,82,839,
toast:N,1,964,255,-1,-1,-1,964,
today:ADV,1,152,61,-1,-1,-1,152,
toe:N,1,318,98,318,1,98,318,
tongue:N,1,315,98,-1,-1,-1,315,
too:ADV,2,728,204,728,1,204,914,
toy:N,1,705,200,-1,-1,-1,705,
tray:N,1,488,147,-1,-1,-1,488,
tree:N,3,403,118,830,3,230,830,
try:V,2,750,211,-1,-1,-1,888,
turn:V,2,212,77,-1,-1,-1,874,
two:DET,2,436,131,617,2,184,617,
type:N,1,960,253,-1,-1,-1,960,
u:N,2,283,92,-1,-1,-1,797,
up:ADV,3,682,196,682,1,196,874,
up:PREP,4,21,14,405,3,118,843,
very:ADV,10,4,2,207,3,75,858,
wait:V,3,550,164,-1,-1,-1,786,
walk:N,1,887,243,-1,-1,-1,887,
wall:N,2,392,114,-1,-1,-1,397,
