time, heard, learned, nov_n_min1, nov_n_min2, all, lrn, n, v, oth
634,347,187,-1,-1,0.697432013094,0.858438781485,0.686734715895,0.662177096653,0.742025528637
635,347,187,-1,-1,0.697429523962,0.858434162614,0.68672931759,0.662177096653,0.742025528637
636,347,187,-1,-1,0.697427595333,0.858430583821,0.68672931759,0.662201485901,0.741999629196
637,347,187,-1,-1,0.697471354008,0.858511783074,0.686678439335,0.66251387216,0.741974597671
638,347,187,-1,-1,0.697466244697,0.85850230216,0.686667358517,0.66251387216,0.741974597671
639,347,187,-1,-1,0.697485550919,0.858538127074,0.686667358517,0.66251387216,0.742039013624
640,347,187,-1,-1,0.697500233611,0.858565372497,0.686667358517,0.662571818761,0.742041757145
641,347,187,-1,-1,0.6975630519,0.858681939056,0.686776650793,0.662652666984,0.742018687718
642,347,187,-1,-1,0.697563666278,0.858683079105,0.686776650793,0.662652666984,0.742020737615
643,347,187,-1,-1,0.697567143563,0.858689531607,0.686784192155,0.662652666984,0.742020737615
644,347,187,-1,-1,0.697620639002,0.858788798544,0.686784192155,0.662693888318,0.742166329408
645,347,187,-1,-1,0.697665393873,0.858871846354,0.686841005868,0.662749215163,0.742184094968
646,348,187,0.312450230257,-1,0.696641875996,0.859027092035,0.684636116756,0.662814395248,0.742224646571
647,348,187,-1,-1,0.69769724656,0.860175657209,0.684636116756,0.663029254328,0.745584604769
648,348,187,-1,-1,0.698192352044,0.860609777647,0.685203450483,0.66321673451,0.746213404031
649,348,188,-1,-1,0.698715494848,0.86032182768,0.686334218781,0.66321673451,0.746213404031
650,348,189,-1,-1,0.700002016872,0.861553826602,0.688088246092,0.66321673451,0.747802935446
651,348,190,-1,-1,0.701047594951,0.861792909695,0.690214665007,0.66321673451,0.748009740505
652,348,191,-1,-1,0.702302638002,0.86194158989,0.69292742887,0.66321673451,0.748009740505
653,348,191,-1,-1,0.702855417952,0.86294874917,0.694122257581,0.66321673451,0.748009740505
654,349,191,-1,-1,0.702335867541,0.862942096746,0.693064730914,0.66321673451,0.747997523071
655,349,192,-1,-1,0.702597121844,0.862564150464,0.693067201452,0.663214181571,0.748872421326
656,349,193,-1,-1,0.703104264357,0.862341498637,0.694162332727,0.663211625641,0.748870436832
657,349,193,-1,-1,0.703177823824,0.862474515498,0.694262994101,0.66320262826,0.748967666583
658,349,193,-1,-1,0.703287184688,0.862672271672,0.694262994101,0.663662470931,0.748967666583
659,350,193,-1,-1,0.703110841546,0.863113822563,0.694789039298,0.663662470931,0.747133191309
660,350,193,-1,-1,0.703204733066,0.863284092159,0.694979943166,0.663695418416,0.747125581444
661,350,193,-1,-1,0.703403887005,0.863645252153,0.694659369989,0.665071993927,0.74719587636
662,351,193,-1,-1,0.703641884246,0.863681466163,0.69466218176,0.663646160028,0.749492861741
663,351,193,-1,-1,0.703736771844,0.863854033765,0.694857790968,0.663657321757,0.74949933098
664,351,193,-1,-1,0.703736107913,0.863852826305,0.69485646497,0.66366144692,0.749495857249
665,351,193,-1,-1,0.703744294979,0.863867715735,0.69485646497,0.66366144692,0.749523225439
666,351,193,-1,-1,0.703779775535,0.863932242549,0.694856869627,0.663666600147,0.749637084961
667,352,194,-1,-1,0.704551729983,0.864507373987,0.696578654116,0.663666600147,0.749637084961
668,352,194,-1,-1,0.704577776047,0.864554632825,0.696634900831,0.663666600147,0.749637084961
669,353,194,0.635085394567,-1,0.704403375258,0.864595503458,0.696284478293,0.663665235182,0.749674831151
670,353,194,-1,-1,0.704439611174,0.864661437883,0.696324803335,0.663665235182,0.749733668976
671,353,194,-1,-1,0.704439338126,0.864660941048,0.696324803335,0.663665235182,0.749732751014
672,354,194,0.648948665066,-1,0.704274154028,0.86464555704,0.696040868256,0.6636619988,0.749701898711
673,355,194,0.676665824581,-1,0.704198731751,0.864649853025,0.695925029864,0.663652987316,0.749715655998
674,356,194,0.365654153736,-1,0.703297402649,0.864740942805,0.693948450007,0.663928933783,0.749661464322
675,356,194,-1,-1,0.703298077651,0.864742181469,0.693948132123,0.663932426491,0.749661464322
676,356,194,-1,-1,0.703297649458,0.864741395714,0.693947572141,0.66393172507,0.749661464322
677,356,194,-1,-1,0.70358953454,0.865277019884,0.693940284319,0.663935320029,0.75065980888
678,357,194,0.683465782846,-1,0.703531206177,0.865273414348,0.693876798466,0.663929519699,0.750659607696
